Valores izquierda (0 a -179 grados):
Angle  Modulo  Coord_x Coord_y:
24.7778 0.475497 0.199281 0.431723
24.8889 0.501397 0.211018 0.45483
25 0.493405 0.208522 0.447177
25.1111 0.492847 0.209152 0.446266
25.2222 0.501325 0.21363 0.45353
25.3333 0.485724 0.207833 0.439014
25.4444 0.475561 0.204318 0.429433
25.5556 0.49497 0.213523 0.446546
25.6667 0.486243 0.210609 0.438265
25.7778 0.479385 0.208476 0.43168
25.8889 0.48813 0.213131 0.439143
26 0.486665 0.21334 0.437412
26.1111 0.49672 0.218613 0.446026
26.2222 0.499915 0.220889 0.448468
26.3333 0.505732 0.224339 0.453252
26.4444 0.501459 0.223315 0.44899
26.5556 0.506601 0.226484 0.453155
26.6667 0.486523 0.218351 0.434773
26.7778 0.487427 0.219601 0.435156
26.8889 0.499153 0.225748 0.445188
27 0.483072 0.21931 0.43042
27.1111 0.491295 0.223892 0.437314
27.2222 0.497631 0.227638 0.442513
27.3333 0.498739 0.229004 0.443055
27.4444 0.493788 0.227581 0.438216
27.5556 0.509166 0.235545 0.451408
27.6667 0.481148 0.22341 0.426136
27.7778 0.497252 0.231741 0.43995
27.8889 0.496782 0.232374 0.439084
28 0.485214 0.227794 0.428419
28.1111 0.497483 0.234405 0.438797
28.2222 0.491482 0.232418 0.433055
28.3333 0.484957 0.230161 0.42686
28.4444 0.498491 0.237435 0.438313
28.5556 0.496927 0.237536 0.436478
28.6667 0.488543 0.234361 0.42866
28.7778 0.496939 0.239233 0.435564
28.8889 0.50798 0.245412 0.444766
29 0.491688 0.238375 0.43004
29.1111 0.491035 0.238891 0.429007
29.2222 0.498082 0.243163 0.434692
29.3333 0.48599 0.238081 0.423678
29.4444 0.504723 0.248111 0.439529
29.5556 0.496365 0.244841 0.431777
29.6667 0.496625 0.245806 0.431528
29.7778 0.486697 0.241712 0.422433
29.8889 0.504622 0.251463 0.437504
30 0.516832 0.258416 0.44759
30.1111 0.502184 0.251935 0.434417
30.2222 0.49296 0.248134 0.425956
30.3333 0.47569 0.240237 0.410569
30.4444 0.494961 0.250798 0.426716
30.5556 0.493476 0.25087 0.42495
30.6667 0.500027 0.255035 0.430097
30.7778 0.486709 0.249054 0.41816
30.8889 0.498053 0.255688 0.427411
31 0.484575 0.249575 0.415362
